code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,4G connectivity,Fibre connectivity,Population,GVA/H volume,Hours
TLC11,Hartlepool and Stockton-on-Tees,2004,24.3,,,,,,,,,,276004.0,95.0,3568693.0
TLC11,Hartlepool and Stockton-on-Tees,2005,24.1,,,,,,,,,,276807.0,94.2,3549987.0
TLC11,Hartlepool and Stockton-on-Tees,2006,25.9,,,,,,,,,,278051.0,97.2,3582223.0
TLC11,Hartlepool and Stockton-on-Tees,2007,27.1,,,,,,,,,,278906.0,101.5,3474521.0
TLC11,Hartlepool and Stockton-on-Tees,2008,27.8,,,,,,,,,,280418.0,92.8,3663759.0
TLC11,Hartlepool and Stockton-on-Tees,2009,28.5,,,,,,,,,,281508.0,94.9,3519571.0
TLC11,Hartlepool and Stockton-on-Tees,2010,29.1,,,,,,,,,,282675.0,96.2,3502080.0
TLC11,Hartlepool and Stockton-on-Tees,2011,29.9,,,,,,,,,,283912.0,96.4,3535974.0
TLC11,Hartlepool and Stockton-on-Tees,2012,30.7,,,0.2488888888888888,0.2611111111111111,0.7455555555555555,0.2816593886462882,0.6311780939122873,,,285181.0,105.5,3275222.0
TLC11,Hartlepool and Stockton-on-Tees,2013,31.3,,,0.2184850590687977,0.2729673384294649,0.7601111883252258,0.264774044032445,0.6280814838610557,,,286388.0,101.1,3463096.0
TLC11,Hartlepool and Stockton-on-Tees,2014,31.9,,,0.2204195804195804,0.3037762237762237,0.7551048951048951,0.2587093089663049,0.6218018513171764,,,287471.0,99.8,3529891.0
TLC11,Hartlepool and Stockton-on-Tees,2015,32.2,,,0.2122608574221477,0.3172741237257366,0.7581343387795001,0.2245958429561201,0.62179810013372,,,287915.0,103.1,3622597.0
TLC11,Hartlepool and Stockton-on-Tees,2016,32.5,0.3820350877192982,,0.1932960893854748,0.3223463687150838,0.744413407821229,0.2666666666666666,0.6200809222924287,,,288672.0,104.7,3615339.0
TLC11,Hartlepool and Stockton-on-Tees,2017,32.6,0.4957627118644068,0.1152754116978989,0.2239057239057239,0.3075196408529742,0.7377946127946128,0.2648475120385232,0.6158588846802511,,,289352.0,97.2,3777376.0
TLC11,Hartlepool and Stockton-on-Tees,2018,33.6,0.6574979056129573,0.1133603238866396,0.2241887905604719,0.3185840707964602,0.7376035960106757,0.2821199143468951,0.6141367923063386,0.7506271777029498,0.0185673189633932,289797.0,98.5,3681637.0
TLC11,Hartlepool and Stockton-on-Tees,2019,35.1,0.5678170144462279,0.127030162412993,0.2066732366605659,0.3170491341686611,0.7474306631000985,0.3138238573021181,0.6138919522507355,0.7310702828069057,0.0187937582443069,289261.0,100.0,3702823.0
TLC11,Hartlepool and Stockton-on-Tees,2020,37.2,0.6442843550360201,0.1116959064327485,0.1711929475330584,0.3588795677520262,0.7643964168917958,0.3029571514785757,0.6092553449530476,0.7249417223802579,0.04089199023869,288590.0,110.8,3169154.0
TLC11,Hartlepool and Stockton-on-Tees,2021,38.3,0.5741001665172282,0.1282346175963197,0.176286607904464,0.3400625533124822,0.7649985783338072,0.3079249848759831,0.6072021739806013,0.7528633331909987,0.0699172680302318,289607.0,103.3,3598033.0
TLC11,Hartlepool and Stockton-on-Tees,2022,38.8,0.452510016497761,0.1156976744186046,0.127056154282473,0.3221781055019853,0.7521270561542824,0.3615560640732265,0.6000129327801733,0.7315228214005055,0.2935493702610284,293827.0,105.7,3612188.0
TLC11,Hartlepool and Stockton-on-Tees,2023,,,,,,,,,0.7821668406591465,0.4594660078967629,,,
TLC11,Hartlepool and Stockton-on-Tees,2024,,,,,,,,,0.7861677676000309,0.560205321373503,,,
TLC12,South Teesside,2004,20.3,,,,,,,,,,277094.0,92.2,3374493.0
TLC12,South Teesside,2005,20.1,,,,,,,,,,276694.0,96.0,3278271.0
TLC12,South Teesside,2006,21.3,,,,,,,,,,275790.0,96.8,3340380.0
TLC12,South Teesside,2007,22.1,,,,,,,,,,275130.0,93.8,3388159.0
TLC12,South Teesside,2008,23.1,,,,,,,,,,274397.0,98.2,3212606.0
TLC12,South Teesside,2009,23.8,,,,,,,,,,273140.0,96.1,3235821.0
TLC12,South Teesside,2010,24.3,,,,,,,,,,273050.0,98.5,3133470.0
TLC12,South Teesside,2011,24.5,,,,,,,,,,273532.0,99.5,3103801.0
TLC12,South Teesside,2012,24.6,,,0.2804171494785631,0.2323290845886442,0.7207415990730012,0.2966804979253112,0.6312563317643358,,,273423.0,95.9,3289399.0
